"X1","X2","X3","X4","X5","Fecha"
"Acelga","Armenia, Mercar","1333","1467","1400","2023-12-17"
"Acelga","Barranquilla, Barranquillita","4000","4000","4000","2023-12-17"
"Acelga","Bogotá, D.C., Corabastos","533","1000","756","2023-12-17"
"Acelga","Bucaramanga, Centroabastos","1600","2000","1767","2023-12-17"
"Acelga","Ibagué, Plaza La 21","1440","1760","1600","2023-12-17"
"Acelga","Medellín, Central Mayorista de Antioquia","1500","1600","1550","2023-12-17"
"Acelga","Neiva, Surabastos","2125","2500","2365","2023-12-17"
"Acelga","Pasto, El Potrerillo","2500","3000","2750","2023-12-17"
"Acelga","Pereira, Mercasa","2000","3000","2283","2023-12-17"
"Acelga","Tunja, Complejo de Servicios del Sur","1000","1200","1044","2023-12-17"
"Acelga","Villavicencio, CAV","1400","1800","1633","2023-12-17"
"Ahuyama","Armenia, Mercar","1200","1300","1267","2023-12-17"
"Ahuyama","Bogotá, D.C., Corabastos","1400","1700","1577","2023-12-17"
"Ahuyama","Bucaramanga, Centroabastos","900","1000","950","2023-12-17"
"Ahuyama","Cali, Cavasa","1200","1400","1300","2023-12-17"
"Ahuyama","Cali, Santa Elena","1200","1200","1200","2023-12-17"
"Ahuyama","Cartagena, Bazurto","1400","1500","1450","2023-12-17"
"Ahuyama","Cúcuta, Cenabastos","1300","1500","1445","2023-12-17"
"Ahuyama","Ibagué, Plaza La 21","1000","1400","1256","2023-12-17"
"Ahuyama","Manizales, Centro Galerías","1500","1500","1500","2023-12-17"
"Ahuyama","Medellín, Central Mayorista de Antioquia","900","1000","975","2023-12-17"
"Ahuyama","Montería, Mercado del Sur","900","1000","975","2023-12-17"
"Ahuyama","Pereira, La 41","1200","1300","1267","2023-12-17"
"Ahuyama","Pereira, Mercasa","1200","1500","1283","2023-12-17"
"Ahuyama","Popayán, Plaza de Mercado del Barrio Bolívar","1360","1400","1390","2023-12-17"
"Ahuyama","Sincelejo, Nuevo Mercado","1200","1200","1200","2023-12-17"
"Ahuyama","Tunja, Complejo de Servicios del Sur","625","688","660","2023-12-17"
"Ahuyama","Valledupar, Mercabastos","1000","1300","1140","2023-12-17"
"Ahuyama","Valledupar, Mercado Nuevo","1000","1200","1144","2023-12-17"
"Ahuyamín (Sakata)","Bogotá, D.C., Corabastos","760","900","819","2023-12-17"
"Ahuyamín (Sakata)","Bucaramanga, Centroabastos","660","740","706","2023-12-17"
