nomeSerie;tabSidra;varSidra;codigoVar;tipoSidra;codigoAtiv;ativSidra;
PMC;8184;1;/c11046/;1;0;0;
PMC;8185;1;/c11046/;1;0;0;
PMC;8186;1;/c11046/;1;0;0;
PMC;8187;1;/c11046/;1;/c85/;1;
PMC;8188;1;/c11046/;1;/c85/;1;
PMC;8189;1;/c11046/;1;0;0;
PMS;8161;1;/c11046/;1;0;0;
PMS;8162;1;/c11046/;1;/C12355/;1;
PMS;8164;1;/c11046/;1;/C12355/;1;
PMS;8165;1;/c11046/;1;0;0;
PMS;8166;1;/c11046/;1;/C12355/;1;
PIM;7511;1;/c542/;0;0;1;
PIM;7980;1;0;0;0;0;
PIM;8158;1;/c543/;0;0;1;
PIM;8159;1;/c544/;0;0;1;
PIM;8160;1;c25/;0;0;1;
IPCA;1737;1;0;0;0;0;
IPCA;6691;1;0;0;0;0;
IPCA;7060;1;/c315/;0;0;1;
IPCA;7061;1;/c315/;0;0;1;
INPC;1736;1;0;0;0;0;
INPC;7063;1;/c315/;0;0;1;
CNT;6726;1;0;0;0;0;
CNT;2072;1;0;0;0;0;
CNT;1621;1;0;0;/c11255/;1;
CNT;1846;1;0;0;/c11255/;1;
CNT;2205;1;0;0;/c12116/;1;
CNT;5932;1;0;0;/c11255/;1;
CNT;6612;1;0;0;/c11255/;1;
CNT;6613;1;0;0;/c11255/;1;
CNT;6727;1;0;0;0;0;
