"X1","X2","X3","X4","X5","Fecha"
"Acelga","Armenia, Mercar","933","1067","978","2023-01-25"
"Acelga","Barranquilla, Barranquillita","3000","3000","3000","2023-01-25"
"Acelga","Bogotá, D.C., Corabastos","500","800","681","2023-01-25"
"Acelga","Bucaramanga, Centroabastos","1500","2000","1667","2023-01-25"
"Acelga","Chiquinquirá (Boyacá)","1000","1200","1033","2023-01-25"
"Acelga","Duitama (Boyacá)","1000","1000","1000","2023-01-25"
"Acelga","Florencia (Caquetá)","2000","2000","2000","2023-01-25"
"Acelga","Ibagué, Plaza La 21","960","1120","1070","2023-01-25"
"Acelga","Ipiales (Nariño), Ipiales somos todos","1300","2000","1561","2023-01-25"
"Acelga","Medellín, Central Mayorista de Antioquia","1500","2000","1629","2023-01-25"
"Acelga","Neiva, Surabastos","1250","2000","1604","2023-01-25"
"Acelga","Pamplona (Norte de Santander)","2000","2000","2000","2023-01-25"
"Acelga","Pasto, El Potrerillo","2000","2500","2208","2023-01-25"
"Acelga","Sogamoso (Boyacá)","1000","1000","1000","2023-01-25"
"Acelga","Tunja, Complejo de Servicios del Sur","1000","1200","1089","2023-01-25"
"Acelga","Ubaté (Cundinamarca)","600","600","600","2023-01-25"
"Acelga","Villavicencio, CAV","1000","1400","1144","2023-01-25"
"Ahuyama","Arauca (Arauca)","700","900","800","2023-01-25"
"Ahuyama","Armenia, Mercar","800","900","833","2023-01-25"
"Ahuyama","Barranquilla, Barranquillita","1257","1357","1292","2023-01-25"
"Ahuyama","Barranquilla, Granabastos","1143","1314","1251","2023-01-25"
"Ahuyama","Bogotá, D.C., Corabastos","1000","1200","1144","2023-01-25"
"Ahuyama","Bucaramanga, Centroabastos","800","800","800","2023-01-25"
"Ahuyama","Buenaventura (Valle del Cauca)","1000","1200","1067","2023-01-25"
"Ahuyama","Cali, Cavasa","900","1000","935","2023-01-25"
"Ahuyama","Cali, Santa Helena","900","1000","967","2023-01-25"
"Ahuyama","Cartagena, Bazurto","1029","1086","1054","2023-01-25"
"Ahuyama","Cartago (Valle del Cauca)","800","1000","900","2023-01-25"
"Ahuyama","Cúcuta, Cenabastos","900","1000","942","2023-01-25"
"Ahuyama","Duitama (Boyacá)","625","656","641","2023-01-25"
"Ahuyama","Ibagué, Plaza La 21","800","1000","867","2023-01-25"
"Ahuyama","Manizales, Centro Galerías","900","1000","950","2023-01-25"
"Ahuyama","Medellín, Central Mayorista de Antioquia","600","700","650","2023-01-25"
"Ahuyama","Medellín, Plaza Minorista ""José María Villa""","700","800","750","2023-01-25"
"Ahuyama","Palmira (Valle del Cauca)","900","1000","925","2023-01-25"
"Ahuyama","Pamplona (Norte de Santander)","1000","1000","1000","2023-01-25"
"Ahuyama","Pereira, La 41","800","1000","867","2023-01-25"
"Ahuyama","Pereira, Mercasa","1000","1100","1017","2023-01-25"
"Ahuyama","Popayán, Plaza de mercado del barrio Bolívar","760","800","790","2023-01-25"
"Ahuyama","Rionegro (Antioquia)","900","1000","940","2023-01-25"
"Ahuyama","San Gil (Santander)","800","900","833","2023-01-25"
"Ahuyama","Sincelejo, Nuevo Mercado","1000","1000","1000","2023-01-25"
"Ahuyama","Socorro (Santander)","700","800","733","2023-01-25"
"Ahuyama","Sogamoso (Boyacá)","650","750","704","2023-01-25"
"Ahuyama","Tuluá (Valle del Cauca)","850","1000","908","2023-01-25"
"Ahuyama","Valledupar, Mercabastos","1000","1200","1075","2023-01-25"
"Ahuyama","Valledupar, Mercado Nuevo","1000","1200","1100","2023-01-25"
"Ahuyama","Yopal (Casanare)","1000","1000","1000","2023-01-25"
"Ahuyamín (Sakata)","Bogotá, D.C., Corabastos","760","900","808","2023-01-25"
"Ahuyamín (Sakata)","Bucaramanga, Centroabastos","600","640","620","2023-01-25"
"Ahuyamín (Sakata)","Duitama (Boyacá)","700","700","700","2023-01-25"
"Ahuyamín (Sakata)","Florencia (Caquetá)","960","960","960","2023-01-25"
"Ahuyamín (Sakata)","Ibagué, Plaza La 21","1000","1400","1233","2023-01-25"
"Ahuyamín (Sakata)","Neiva, Surabastos","960","1200","997","2023-01-25"
"Ahuyamín (Sakata)","Pamplona (Norte de Santander)","1000","1000","1000","2023-01-25"
"Ahuyamín (Sakata)","San Gil (Santander)","600","700","633","2023-01-25"
"Ahuyamín (Sakata)","Sogamoso (Boyacá)","700","800","767","2023-01-25"
"Ahuyamín (Sakata)","Tunja, Complejo de Servicios del Sur","800","880","853","2023-01-25"
"Ahuyamín (Sakata)","Villavicencio, CAV","800","1000","875","2023-01-25"
"Ahuyamín (Sakata)","Yopal (Casanare)","1200","1300","1250","2023-01-25"
"Ají topito dulce","Barranquilla, Barranquillita","3875","4200","3994","2023-01-25"
"Ají topito dulce","Cartagena, Bazurto","2950","3100","3031","2023-01-25"
"Ají topito dulce","Medellín, Central Mayorista de Antioquia","3000","4000","3650","2023-01-25"
"Ají topito dulce","Montería, Mercado del Sur","3750","5500","4583","2023-01-25"
"Ají topito dulce","Sincelejo, Nuevo Mercado","3500","4500","3906","2023-01-25"
"Ajo","Bogotá, D.C., Corabastos","7000","9000","7961","2023-01-25"
"Ajo","Chiquinquirá (Boyacá)","7000","8400","7900","2023-01-25"
"Ajo","Cúcuta, Cenabastos","2500","3500","3056","2023-01-25"
"Ajo","Duitama (Boyacá)","4000","4000","4000","2023-01-25"
"Ajo","Ipiales (Nariño), Ipiales somos todos","4500","5500","4889","2023-01-25"
"Ajo","Manizales, Centro Galerías","6250","6875","6458","2023-01-25"
"Ajo","Medellín, Central Mayorista de Antioquia","6000","7000","6250","2023-01-25"
"Ajo","Pamplona (Norte de Santander)","3750","4375","4014","2023-01-25"
"Ajo","Pasto, El Potrerillo","3500","5000","4222","2023-01-25"
"Ajo","Pereira, La 41","4667","5556","5093","2023-01-25"
"Ajo","Pereira, Mercasa","5333","6222","5880","2023-01-25"
"Ajo","San Gil (Santander)","3200","3500","3300","2023-01-25"
"Ajo","Sogamoso (Boyacá)","3600","4000","3867","2023-01-25"
"Ajo","Tunja, Complejo de Servicios del Sur","7000","8000","7400","2023-01-25"
"Ajo","Túquerres (Nariño)","4000","5000","4500","2023-01-25"
"Ajo","Villavicencio, CAV","4000","5000","4596","2023-01-25"
"Ajo importado","Arauca (Arauca)","4000","4400","4200","2023-01-25"
"Ajo importado","Armenia, Mercar","3700","4000","3922","2023-01-25"
"Ajo importado","Barranquilla, Barranquillita","3000","3200","3100","2023-01-25"
"Ajo importado","Barranquilla, Granabastos","3200","3400","3289","2023-01-25"
"Ajo importado","Bogotá, D.C., Corabastos","3500","4000","3639","2023-01-25"
"Ajo importado","Bucaramanga, Centroabastos","3500","3500","3500","2023-01-25"
"Ajo importado","Buenaventura (Valle del Cauca)","3400","4000","3733","2023-01-25"
"Ajo importado","Cali, Cavasa","3300","3500","3471","2023-01-25"
"Ajo importado","Cali, Santa Helena","3300","3500","3400","2023-01-25"
"Ajo importado","Cartagena, Bazurto","3200","3500","3292","2023-01-25"
"Ajo importado","Cartago (Valle del Cauca)","3800","4000","3867","2023-01-25"
"Ajo importado","Cúcuta, Cenabastos","3500","3700","3517","2023-01-25"
"Ajo importado","Ibagué, Plaza La 21","4000","4500","4271","2023-01-25"
"Ajo importado","Ipiales (Nariño), Ipiales somos todos","3800","4200","3989","2023-01-25"
"Ajo importado","Manizales, Centro Galerías","4500","5000","4667","2023-01-25"
"Ajo importado","Medellín, Central Mayorista de Antioquia","3400","3500","3450","2023-01-25"
"Ajo importado","Montería, Mercado del Sur","3000","3200","3033","2023-01-25"
"Ajo importado","Neiva, Surabastos","3600","4000","3783","2023-01-25"
"Ajo importado","Palmira (Valle del Cauca)","3400","3600","3525","2023-01-25"
"Ajo importado","Pasto, El Potrerillo","3500","3800","3650","2023-01-25"
"Ajo importado","Pereira, La 41","4200","4500","4317","2023-01-25"
"Ajo importado","Pereira, Mercasa","3500","4400","3700","2023-01-25"
"Ajo importado","Popayán, Plaza de mercado del barrio Bolívar","3800","4000","3975","2023-01-25"
"Ajo importado","Sincelejo, Nuevo Mercado","3200","3300","3217","2023-01-25"
"Ajo importado","Tuluá (Valle del Cauca)","3600","3800","3733","2023-01-25"
"Ajo importado","Valledupar, Mercabastos","3200","3300","3211","2023-01-25"
"Apio","Arauca (Arauca)","2083","2500","2250","2023-01-25"
"Apio","Armenia, Mercar","1050","1150","1083","2023-01-25"
"Apio","Barranquilla, Barranquillita","1200","1500","1383","2023-01-25"
"Apio","Barranquilla, Granabastos","1300","1500","1442","2023-01-25"
"Apio","Bogotá, D.C., Corabastos","800","1200","978","2023-01-25"
"Apio","Bucaramanga, Centroabastos","1500","1500","1500","2023-01-25"
"Apio","Cali, Cavasa","1000","1059","1042","2023-01-25"
"Apio","Cali, Santa Helena","1000","1176","1108","2023-01-25"
"Apio","Cartagena, Bazurto","1500","1600","1525","2023-01-25"
"Apio","Cartago (Valle del Cauca)","1440","1600","1493","2023-01-25"
"Apio","Chiquinquirá (Boyacá)","650","800","742","2023-01-25"
"Apio","Cúcuta, Cenabastos","1000","1333","1283","2023-01-25"
"Apio","Ibagué, Plaza La 21","1120","1440","1280","2023-01-25"
"Apio","Ipiales (Nariño), Ipiales somos todos","2500","3500","2847","2023-01-25"
"Apio","Manizales, Centro Galerías","1440","1600","1520","2023-01-25"
"Apio","Marinilla (Antioquia)","1000","1100","1028","2023-01-25"
"Apio","Medellín, Central Mayorista de Antioquia","1000","1200","1050","2023-01-25"
"Apio","Medellín, Plaza Minorista ""José María Villa""","1000","1000","1000","2023-01-25"
